1927/1928  1        Actor|Richard Barthelmess|The Noose
                    Music (Song)|"""Rio De Janeiro"" from Brazil"|Music by Ary Barroso; Lyrics by Ned Washington
                    Music (Song)|"""Silver Shadows And Golden Dreams"" from Lady, Let's Dance"|Music by Lew Pollack; Lyrics by Charles Newman
                    Music (Song)|"""Sweet Dreams Sweetheart"" from Hollywood Canteen"|Music by M. K. Jerome; Lyrics by Ted Koehler
             Winner Music (Song)|"""Swinging On A Star"" from Going My Way"|Music by James Van Heusen; Lyrics by Johnny Burke
                    Music (Song)|"""Too Much In Love"" from Song of the Open Road"|Music by Walter Kent; Lyrics by Kim Gannon
                    Music (Song)|"""The Trolley Song"" from Meet Me in St. Louis"|Music and Lyrics by Ralph Blane and Hugh Martin
                    Best Motion Picture|Double Indemnity|Paramount
                    Best Motion Picture|Gaslight|Metro-Goldwyn-Mayer
             Winner Best Motion Picture|Going My Way|Paramount
                    Best Motion Picture|Since You Went Away|Selznick International Pictures
                    Best Motion Picture|Wilson|20th Century-Fox
                    Short Subject (Cartoon)|And to Think I Saw It on Mulberry Street|George Pal, Producer
                    Short Subject (Cartoon)|Dog, Cat and Canary|Screen Gems
                    Short Subject (Cartoon)|Fish Fry|Walter Lantz, Producer
                    Short Subject (Cartoon)|How to Play Football|Walt Disney, Producer
             Winner Short Subject (Cartoon)|Mouse Trouble|Frederick C. Quimby, Producer
                    Short Subject (Cartoon)|My Boy Johnny|Paul Terry, Producer
                    Short Subject (Cartoon)|Swooner Crooner|Warner Brothers
                    Short Subject (One Reel)|Blue Grass Gentlemen|Edmund Reek, Producer
                    Short Subject (One Reel)|Jammin' the Blues|Gordon Hollingshead, Producer
                    Short Subject (One Reel)|Movie Pests|Pete Smith, Producer
                    Short Subject (One Reel)|Screen Snapshots' 50th Anniversary of Motion Pictures|Ralph Staub, Producer
             Winner Short Subject (One Reel)|Who's Who in Animal Land|Jerry Fairbanks, Producer
                    Short Subject (Two Reel)|Bombalera|Louis Harris, Producer
             Winner Short Subject (Two Reel)|I Won't Play|Gordon Hollingshead, Producer
                    Short Subject (Two Reel)|Main Street Today|Jerry Bresler, Producer; Herbert Moulton, Associate Producer
                    Sound Recording|Brazil|Republic Studio Sound Department, Daniel J. Bloomberg, Sound Director
                    Sound Recording|Casanova Brown|Samuel Goldwyn Studio Sound Department, Thomas T. Moulton, Sound Director
                    Sound Recording|Cover Girl|Columbia Studio Sound Department, John Livadary, Sound Director
                    Sound Recording|Double Indemnity|Paramount Studio Sound Department, Loren L. Ryder, Sound Director
                    Sound Recording|His Butler's Sister|Universal Studio Sound Department, Bernard B. Brown, Sound Director
                    Sound Recording|Hollywood Canteen|Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director
                    Sound Recording|It Happened Tomorrow|Sound Service, Inc., Jack Whitney, Sound Director
                    Sound Recording|Kismet|Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director
                    Sound Recording|Music in Manhattan|RKO Radio Studio Sound Department, Stephen Dunn, Sound Director
                    Sound Recording|Voice in the Wind|RCA Sound, W. M. Dalgleish, Sound Director
             Winner Sound Recording|Wilson|20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director
                    Special Effects|The Adventures of Mark Twain|Photographic Effects by Paul Detlefsen, John Crouse; Sound Effects by Nathan Levinson
                    Special Effects|Days of Glory|Photographic Effects by Vernon L. Walker; Sound Effects by James G. Stewart, Roy Granville
                    Special Effects|Secret Command|Photographic Effects by David Allen, Ray Cory, Robert Wright; Sound Effects by Russell Malmgren, Harry Kusnick
                    Special Effects|Since You Went Away|Photographic Effects by John R. Cosgrove; Sound Effects by Arthur Johns
                    Special Effects|The Story of Dr. Wassell|Photographic Effects by Gordon Jennings, Farciot Edouart; Sound Effects by George Dutton
             Winner Special Effects|Thirty Seconds over Tokyo|Photographic Effects by A. Arnold Gillespie, Donald Jahraus, Warren Newcombe; Sound Effects by Douglas Shearer
                    Special Effects|Wilson|Photographic Effects by Fred Sersen; Sound Effects by Roger Heman
             Winner Writing (Original Motion Picture Story)|Going My Way|Leo McCarey
                    Writing (Original Motion Picture Story)|A Guy Named Joe|Chandler Sprague, David Boehm
                    Writing (Original Motion Picture Story)|Lifeboat|John Steinbeck
                    Writing (Original Motion Picture Story)|None Shall Escape|Alfred Neumann, Joseph Than
                    Writing (Original Motion Picture Story)|The Sullivans|Edward Doherty, Jules Schermer
                    Writing (Original Screenplay)|Hail the Conquering Hero|Preston Sturges
                    Writing (Original Screenplay)|The Miracle of Morgan's Creek|Preston Sturges
                    Writing (Original Screenplay)|Two Girls and a Sailor|Richard Connell, Gladys Lehman
             Winner Writing (Original Screenplay)|Wilson|Lamar Trotti
                    Writing (Original Screenplay)|Wing and a Prayer|Jerome Cady
                    Writing (Screenplay)|Double Indemnity|Billy Wilder, Raymond Chandler
                    Writing (Screenplay)|Gaslight|John Van Druten, Walter Reisch, John L. Balderston
             Winner Writing (Screenplay)|Going My Way|Frank Butler, Frank Cavett
                    Writing (Screenplay)|Laura|Jay Dratler, Samuel Hoffenstein, Betty Reinhardt
                    Writing (Screenplay)|Meet Me in St. Louis|Irving Brecher, Fred F. Finklehoffe
             Winner Special Award|Margaret O'Brien|
             Winner Special Award|Bob Hope|
             Winner Irving G. Thalberg Memorial Award|Darryl F. Zanuck|
1945      18        Actor|Bing Crosby|The Bells of St. Mary's
                    Actor|Gene Kelly|Anchors Aweigh
             Winner Actor|Ray Milland|The Lost Weekend
                    Actor|Gregory Peck|The Keys of the Kingdom
                    Actor|Cornel Wilde|A Song to Remember
                    Actor in a Supporting Role|Michael Chekhov|Spellbound
                    Actor in a Supporting Role|John Dall|The Corn Is Green
             Winner Actor in a Supporting Role|James Dunn|A Tree Grows in Brooklyn
                    Actor in a Supporting Role|Robert Mitchum|G. I. Joe
                    Actor in a Supporting Role|J. Carrol Naish|A Medal for Benny
                    Actress|Ingrid Bergman|The Bells of St. Mary's
             Winner Actress|Joan Crawford|Mildred Pierce
                    Actress|Greer Garson|The Valley of Decision
                    Actress|Jennifer Jones|Love Letters
                    Actress|Gene Tierney|Leave Her to Heaven
                    Actress in a Supporting Role|Eve Arden|Mildred Pierce
                    Actress in a Supporting Role|Ann Blyth|Mildred Pierce
                    Actress in a Supporting Role|Angela Lansbury|The Picture of Dorian Gray
                    Actress in a Supporting Role|Joan Lorring|The Corn Is Green
             Winner Actress in a Supporting Role|Anne Revere|National Velvet
             Winner Art Direction (Black and White)|Blood on the Sun|Art Direction: Wiard Ihnen; Interior Decoration: A. Roland Fields
                    Art Direction (Black and White)|Experiment Perilous|Art Direction: Albert S. D'Agostino, Jack Okey; Interior Decoration: Darrell Silvera, Claude Carpenter
                    Art Direction (Black and White)|The Keys of the Kingdom|Art Direction: James Basevi, William Darling; Interior Decoration: Thomas Little, Frank E. Hughes
                    Art Direction (Black and White)|Love Letters|Art Direction: Hans Dreier, Roland Anderson; Interior Decoration: Sam Comer, Ray Moyer
                    Art Direction (Black and White)|The Picture of Dorian Gray|Art Direction: Cedric Gibbons, Hans Peters; Interior Decoration: Edwin B. Willis, Hugh Hunt, John Bonar
             Winner Art Direction (Color)|Frenchman's Creek|Art Direction: Hans Dreier, Ernst Fegte; Interior Decoration: Sam Comer
                    Art Direction (Color)|Leave Her to Heaven|Art Direction: Lyle Wheeler, Maurice Ransford; Interior Decoration: Thomas Little
                    Art Direction (Color)|National Velvet|Art Direction: Cedric Gibbons, Urie McCleary; Interior Decoration: Edwin B. Willis, Mildred Griffiths
                    Art Direction (Color)|San Antonio|Art Direction: Ted Smith; Interior Decoration: Jack McConaghy
                    Art Direction (Color)|A Thousand and One Nights|Art Direction: Stephen Goosson, Rudolph Sternad; Interior Decoration: Frank Tuttle
                    Cinematography (Black and White)|The Keys of the Kingdom|Arthur Miller
                    Cinematography (Black and White)|The Lost Weekend|John F. Seitz
                    Cinematography (Black and White)|Mildred Pierce|Ernest Haller
             Winner Cinematography (Black and White)|The Picture of Dorian Gray|Harry Stradling
                    Cinematography (Black and White)|Spellbound|George Barnes
                    Cinematography (Color)|Anchors Aweigh|Robert Planck, Charles Boyle
             Winner Cinematography (Color)|Leave Her to Heaven|Leon Shamroy
                    Cinematography (Color)|National Velvet|Leonard Smith
                    Cinematography (Color)|A Song to Remember|Tony Gaudio, Allen M. Davey
                    Cinematography (Color)|The Spanish Main|George Barnes
                    Directing|The Bells of St. Mary's|Leo McCarey
             Winner Directing|The Lost Weekend|Billy Wilder
                    Directing|National Velvet|Clarence Brown
                    Directing|The Southerner|Jean Renoir
                    Directing|Spellbound|Alfred Hitchcock
                    Documentary (Feature)|The Last Bomb|United States Army Air Force
             Winner Documentary (Feature)|The True Glory|The Governments of Great Britain and the United States of America
             Winner Documentary (Short Subject)|Hitler Lives?|Gordon Hollingshead, Producer
                    Documentary (Short Subject)|Library of Congress|United States Office of War Information Overseas Motion Picture Bureau
                    Documentary (Short Subject)|To the Shores of Iwo Jima|United States Marine Corps
                    Film Editing|The Bells of St. Mary's|Harry Marker
                    Film Editing|The Lost Weekend|Doane Harrison
             Winner Film Editing|National Velvet|Robert J. Kern
                    Film Editing|Objective, Burma!|George Amy
                    Film Editing|A Song to Remember|Charles Nelson
                    Music (Music Score of a Dramatic or Comedy Picture)|The Bells of St. Mary's|Robert Emmett Dolan
                    Music (Music Score of a Dramatic or Comedy Picture)|Brewster's Millions|Lou Forbes
                    Music (Music Score of a Dramatic or Comedy Picture)|Captain Kidd|Werner Janssen
                    Music (Music Score of a Dramatic or Comedy Picture)|The Enchanted Cottage|Roy Webb
                    Music (Music Score of a Dramatic or Comedy Picture)|Flame of Barbary Coast|Morton Scott, Dale Butts
                    Music (Music Score of a Dramatic or Comedy Picture)|G. I. Honeymoon|Edward J. Kay
                    Music (Music Score of a Dramatic or Comedy Picture)|G. I. Joe|Louis Applebaum, Ann Ronell
                    Music (Music Score of a Dramatic or Comedy Picture)|Guest in the House|Werner Janssen
                    Music (Music Score of a Dramatic or Comedy Picture)|Guest Wife|Daniele Amfitheatrof
                    Music (Music Score of a Dramatic or Comedy Picture)|The Keys of the Kingdom|Alfred Newman
                    Music (Music Score of a Dramatic or Comedy Picture)|The Lost Weekend|Miklos Rozsa
                    Music (Music Score of a Dramatic or Comedy Picture)|Love Letters|Victor Young
                    Music (Music Score of a Dramatic or Comedy Picture)|The Man Who Walked Alone|Karl Hajos
                    Music (Music Score of a Dramatic or Comedy Picture)|Objective, Burma!|Franz Waxman
                    Music (Music Score of a Dramatic or Comedy Picture)|Paris--Underground|Alexander Tansman
                    Music (Music Score of a Dramatic or Comedy Picture)|A Song to Remember|Miklos Rozsa, Morris Stoloff
                    Music (Music Score of a Dramatic or Comedy Picture)|The Southerner|Werner Janssen
             Winner Music (Music Score of a Dramatic or Comedy Picture)|Spellbound|Miklos Rozsa
                    Music (Music Score of a Dramatic or Comedy Picture)|This Love of Ours|H. J. Salter
                    Music (Music Score of a Dramatic or Comedy Picture)|The Valley of Decision|Herbert Stothart
                    Music (Music Score of a Dramatic or Comedy Picture)|The Woman in the Window|Arthur Lange, Hugo Friedhofer
             Winner Music (Scoring of a Musical Picture)|Anchors Aweigh|Georgie Stoll
                    Music (Scoring of a Musical Picture)|Belle of the Yukon|Arthur Lange
                    Music (Scoring of a Musical Picture)|Can't Help Singing|Jerome Kern, H. J. Salter
                    Music (Scoring of a Musical Picture)|Hitchhike to Happiness|Morton Scott
                    Music (Scoring of a Musical Picture)|Incendiary Blonde|Robert Emmett Dolan
                    Music (Scoring of a Musical Picture)|Rhapsody in Blue|Ray Heindorf, Max Steiner
                    Music (Scoring of a Musical Picture)|State Fair|Alfred Newman, Charles Henderson
                    Music (Scoring of a Musical Picture)|Sunbonnet Sue|Edward J. Kay
                    Music (Scoring of a Musical Picture)|The Three Caballeros|Charles Wolcott, Edward Plumb, Paul J. Smith
                    Music (Scoring of a Musical Picture)|Tonight and Every Night|Marlin Skiles, Morris Stoloff
                    Music (Scoring of a Musical Picture)|Why Girls Leave Home|Walter Greene
                    Music (Scoring of a Musical Picture)|Wonder Man|Ray Heindorf, Lou Forbes
                    Music (Song)|"""Accentuate The Positive"" from Here Come the Waves"|Music by Harold Arlen; Lyrics by Johnny Mercer
                    Music (Song)|"""Anywhere"" from Tonight and Every Night"|Music by Jule Styne; Lyrics by Sammy Cahn
                    Music (Song)|"""Aren't You Glad You're You?"" from The Bells of St. Mary's"|Music by James Van Heusen; Lyrics by Johnny Burke
                    Music (Song)|"""The Cat And The Canary"" from Why Girls Leave Home"|Music by Jay Livingston; Lyrics by Ray Evans
                    Music (Song)|"""Endlessly"" from Earl Carroll Vanities"|Music by Walter Kent; Lyrics by Kim Gannon
                    Music (Song)|"""I Fall In Love Too Easily"" from Anchors Aweigh"|Music by Jule Styne; Lyrics by Sammy Cahn
                    Music (Song)|"""I'll Buy That Dream"" from Sing Your Way Home"|Music by Allie Wrubel; Lyrics by Herb Magidson
             Winner Music (Song)|"""It Might As Well Be Spring"" from State Fair"|Music by Richard Rodgers; Lyrics by Oscar Hammerstein II
                    Music (Song)|"""Linda"" from G. I. Joe"|Music and Lyrics by Ann Ronell
                    Music (Song)|"""Love Letters"" from Love Letters"|Music by Victor Young; Lyrics by Eddie Heyman
                    Music (Song)|"""More And More"" from Can't Help Singing"|Music by Jerome Kern; Lyrics by E. Y. Harburg
                    Music (Song)|"""Sleighride In July"" from Belle of the Yukon"|Music by James Van Heusen; Lyrics by Johnny Burke
                    Music (Song)|"""So In Love"" from Wonder Man"|Music by David Rose; Lyrics by Leo Robin
                    Music (Song)|"""Some Sunday Morning"" from San Antonio"|Music by Ray Heindorf and M. K. Jerome; Lyrics by Ted Koehler
                    Best Motion Picture|Anchors Aweigh|Metro-Goldwyn-Mayer
                    Best Motion Picture|The Bells of St. Mary's|Rainbow Productions
             Winner Best Motion Picture|The Lost Weekend|Paramount
                    Best Motion Picture|Mildred Pierce|Warner Brothers
                    Best Motion Picture|Spellbound|Selznick International Pictures
                    Short Subject (Cartoon)|Donald's Crime|Walt Disney, Producer
                    Short Subject (Cartoon)|Jasper and the Beanstalk|George Pal, Producer
                    Short Subject (Cartoon)|Life with Feathers|Eddie Selzer, Producer
                    Short Subject (Cartoon)|Mighty Mouse in Gypsy Life|Paul Terry, Producer
                    Short Subject (Cartoon)|The Poet and Peasant|Walter Lantz, Producer
             Winner Short Subject (Cartoon)|Quiet Please!|Frederick Quimby, Producer
                    Short Subject (Cartoon)|Rippling Romance|Screen Gems
                    Short Subject (One Reel)|Along the Rainbow Trail|Edmund Reek, Producer
                    Short Subject (One Reel)|Screen Snapshots' 25th Anniversary|Ralph Staub, Producer
             Winner Short Subject (One Reel)|Stairway to Light|Herbert Moulton, Producer; Jerry Bresler, Executive Producer
                    Short Subject (One Reel)|Story of a Dog|Gordon Hollingshead, Producer
                    Short Subject (One Reel)|White Rhapsody|Grantland Rice, Producer
                    Short Subject (One Reel)|Your National Gallery|Joseph O'Brien and Thomas Mead, Producers
                    Short Subject (Two Reel)|A Gun in His Hand|Chester Franklin, Producer; Jerry Bresler, Executive Producer
                    Short Subject (Two Reel)|The Jury Goes Round 'N' Round|Jules White, Producer
                    Short Subject (Two Reel)|The Little Witch|George Templeton, Producer
             Winner Short Subject (Two Reel)|Star in the Night|Gordon Hollingshead, Producer
             Winner Sound Recording|The Bells of St. Mary's|RKO Radio Studio Sound Department, Stephen Dunn, Sound Director
                    Sound Recording|Flame of Barbary Coast|Republic Studio Sound Department, Daniel J. Bloomberg, Sound Director
                    Sound Recording|Lady on a Train|Universal Studio Sound Department, Bernard B. Brown, Sound Director
                    Sound Recording|Leave Her to Heaven|20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director
                    Sound Recording|Rhapsody in Blue|Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director
                    Sound Recording|A Song to Remember|Columbia Studio Sound Department, John P. Livadary, Sound Director
                    Sound Recording|The Southerner|General Service, Jack Whitney, Sound Director
                    Sound Recording|They Were Expendable|Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director
                    Sound Recording|The Three Caballeros|Walt Disney Studio Sound Department, C. O. Slyfield, Sound Director
                    Sound Recording|Three Is a Family|RCA Sound, W. V. Wolfe, Sound Director
                    Sound Recording|The Unseen|Paramount Studio Sound Department, Loren L. Ryder, Sound Director
                    Sound Recording|Wonder Man|Samuel Goldwyn Studio Sound Department, Gordon Sawyer, Sound Director
                    Special Effects|Captain Eddie|Photographic Effects by Fred Sersen, Sol Halprin; Sound Effects by Roger Heman, Harry Leonard
                    Special Effects|Spellbound|Photographic Effects by Jack Cosgrove
                    Special Effects|They Were Expendable|Photographic Effects by A. Arnold Gillespie, Donald Jahraus, Robert A. MacDonald; Sound Effects by Michael Steinore
                    Special Effects|A Thousand and One Nights|Photographic Effects by Lawrence W. Butler; Sound Effects by Ray Bomba
             Winner Special Effects|Wonder Man|Photographic Effects by John Fulton; Sound Effects by Arthur W. Johns
                    Writing (Original Motion Picture Story)|The Affairs of Susan|Thomas Monroe, Laszlo Gorog
             Winner Writing (Original Motion Picture Story)|The House on 92nd Street|Charles G. Booth
                    Writing (Original Motion Picture Story)|A Medal for Benny|John Steinbeck, Jack Wagner
                    Writing (Original Motion Picture Story)|Objective, Burma!|Alvah Bessie
                    Writing (Original Motion Picture Story)|A Song to Remember|Ernst Marischka
                    Writing (Original Screenplay)|Dillinger|Philip Yordan
             Winner Writing (Original Screenplay)|Marie-Louise|Richard Schweizer
                    Writing (Original Screenplay)|Music for Millions|Myles Connolly
                    Writing (Original Screenplay)|Salty O'Rourke|Milton Holmes
                    Writing (Original Screenplay)|What Next, Corporal Hargrove?|Harry Kurnitz
                    Writing (Screenplay)|G. I. Joe|Leopold Atlas, Guy Endore, Philip Stevenson
             Winner Writing (Screenplay)|The Lost Weekend|Charles Brackett, Billy Wilder
                    Writing (Screenplay)|Mildred Pierce|Ranald MacDougall
                    Writing (Screenplay)|Pride of the Marines|Albert Maltz
                    Writing (Screenplay)|A Tree Grows in Brooklyn|Tess Slesinger, Frank Davis
             Winner Special Award|Walter Wanger|
             Winner Special Award|Peggy Ann Garner|
             Winner Special Award|The House I Live In|
             Winner Special Award|Republic Studio, Daniel J. Bloomberg and the Republic Studio Sound Department|
1946      19 Winner Actor|Fredric March|The Best Years of Our Lives
                    Actor|Laurence Olivier|Henry V
                    Actor|Larry Parks|The Jolson Story
                    Actor|Gregory Peck|The Yearling
                    Actor|James Stewart|It's a Wonderful Life
                    Actor in a Supporting Role|Charles Coburn|The Green Years
                    Actor in a Supporting Role|William Demarest|The Jolson Story
                    Actor in a Supporting Role|Claude Rains|Notorious
             Winner Actor in a Supporting Role|Harold Russell|The Best Years of Our Lives
                    Actor in a Supporting Role|Clifton Webb|The Razor's Edge
             Winner Actress|Olivia de Havilland|To Each His Own
                    Actress|Celia Johnson|Brief Encounter
                    Actress|Jennifer Jones|Duel in the Sun
                    Actress|Rosalind Russell|Sister Kenny
                    Actress|Jane Wyman|The Yearling
                    Actress in a Supporting Role|Ethel Barrymore|The Spiral Staircase
             Winner Actress in a Supporting Role|Anne Baxter|The Razor's Edge
                    Actress in a Supporting Role|Lillian Gish|Duel in the Sun
                    Actress in a Supporting Role|Flora Robson|Saratoga Trunk
                    Actress in a Supporting Role|Gale Sondergaard|Anna and the King of Siam
             Winner Art Direction (Black and White)|Anna and the King of Siam|Art Direction: Lyle Wheeler, William Darling; Interior Decoration: Thomas Little, Frank E. Hughes
                    Art Direction (Black and White)|Kitty|Art Direction: Hans Dreier, Walter Tyler; Interior Decoration: Sam Comer, Ray Moyer
                    Art Direction (Black and White)|The Razor's Edge|Art Direction: Richard Day, Nathan Juran; Interior Decoration: Thomas Little, Paul S. Fox
                    Art Direction (Color)|Caesar and Cleopatra|John Bryan
                    Art Direction (Color)|Henry V|Art Direction: Paul Sheriff, Carmen Dillon
             Winner Art Direction (Color)|The Yearling|Art Direction: Cedric Gibbons, Paul Groesse; Interior Decoration: Edwin B. Willis
             Winner Cinematography (Black and White)|Anna and the King of Siam|Arthur Miller
                    Cinematography (Black and White)|The Green Years|George Folsey
                    Cinematography (Color)|The Jolson Story|Joseph Walker
             Winner Cinematography (Color)|The Yearling|Charles Rosher, Leonard Smith, Arthur Arling
             Winner Directing|The Best Years of Our Lives|William Wyler
                    Directing|Brief Encounter|David Lean
                    Directing|It's a Wonderful Life|Frank Capra
                    Directing|The Killers|Robert Siodmak
                    Directing|The Yearling|Clarence Brown
                    Documentary (Short Subject)|Atomic Power|The March of Time
                    Documentary (Short Subject)|Life at the Zoo|Artkino
                    Documentary (Short Subject)|Paramount News Issue #37 (Twentieth Anniversary Issue!  1927.....1947)|Paramount
             Winner Documentary (Short Subject)|Seeds of Destiny|United States Department of War
                    Documentary (Short Subject)|Traffic with the Devil|Herbert Morgan, Producer
             Winner Film Editing|The Best Years of Our Lives|Daniel Mandell
                    Film Editing|It's a Wonderful Life|William Hornbeck
                    Film Editing|The Jolson Story|William Lyon
                    Film Editing|The Killers|Arthur Hilton
                    Film Editing|The Yearling|Harold Kress
                    Music (Music Score of a Dramatic or Comedy Picture)|Anna and the King of Siam|Bernard Herrmann
             Winner Music (Music Score of a Dramatic or Comedy Picture)|The Best Years of Our Lives|Hugo Friedhofer
                    Music (Music Score of a Dramatic or Comedy Picture)|Henry V|William Walton
                    Music (Music Score of a Dramatic or Comedy Picture)|Humoresque|Franz Waxman
                    Music (Music Score of a Dramatic or Comedy Picture)|The Killers|Miklos Rozsa
                    Music (Scoring of a Musical Picture)|Blue Skies|Robert Emmett Dolan
                    Music (Scoring of a Musical Picture)|Centennial Summer|Alfred Newman
                    Music (Scoring of a Musical Picture)|The Harvey Girls|Lennie Hayton
             Winner Music (Scoring of a Musical Picture)|The Jolson Story|Morris Stoloff
                    Music (Scoring of a Musical Picture)|Night and Day|Ray Heindorf, Max Steiner
                    Music (Song)|"""All Through The Day"" from Centennial Summer"|Music by Jerome Kern; Lyrics by Oscar Hammerstein II
                    Music (Song)|"""I Can't Begin To Tell You"" from The Dolly Sisters"|Music by James Monaco; Lyrics by Mack Gordon
                    Music (Song)|"""Ole Buttermilk Sky"" from Canyon Passage"|Music by Hoagy Carmichael; Lyrics by Jack Brooks
             Winner Music (Song)|"""On The Atchison, Topeka And The Santa Fe"" from The Harvey Girls"|Music by Harry Warren; Lyrics by Johnny Mercer
                    Music (Song)|"""You Keep Coming Back Like A Song"" from Blue Skies"|Music and Lyrics by Irving Berlin
             Winner Best Motion Picture|The Best Years of Our Lives|Samuel Goldwyn Productions
                    Best Motion Picture|Henry V|J. Arthur Rank-Two Cities Films
                    Best Motion Picture|It's a Wonderful Life|Liberty Films
                    Best Motion Picture|The Razor's Edge|20th Century-Fox
                    Best Motion Picture|The Yearling|Metro-Goldwyn-Mayer
             Winner Short Subject (Cartoon)|The Cat Concerto|Frederick Quimby, Producer
                    Short Subject (Cartoon)|Chopin's Musical Moments|Walter Lantz, Producer
                    Short Subject (Cartoon)|John Henry and the Inky Poo|George Pal, Producer
                    Short Subject (Cartoon)|Squatter's Rights|Walt Disney, Producer
                    Short Subject (Cartoon)|Walky Talky Hawky|Edward Selzer, Producer
                    Short Subject (One Reel)|Dive-Hi Champs|Jack Eaton, Producer
             Winner Short Subject (One Reel)|Facing Your Danger|Gordon Hollingshead, Producer
                    Short Subject (One Reel)|Golden Horses|Edmund Reek, Producer
                    Short Subject (One Reel)|Smart as a Fox|Gordon Hollingshead, Producer
                    Short Subject (One Reel)|Sure Cures|Pete Smith, Producer
             Winner Short Subject (Two Reel)|A Boy and His Dog|Gordon Hollingshead, Producer
                    Short Subject (Two Reel)|College Queen|George B. Templeton, Producer
                    Short Subject (Two Reel)|Hiss and Yell|Jules White, Producer
                    Short Subject (Two Reel)|The Luckiest Guy in the World|Jerry Bresler, Producer
                    Sound Recording|The Best Years of Our Lives|Samuel Goldwyn Studio Sound Department, Gordon Sawyer, Sound Director
                    Sound Recording|It's a Wonderful Life|RKO Radio Studio Sound Department, John Aalberg, Sound Director
             Winner Sound Recording|The Jolson Story|Columbia Studio Sound Department, John Livadary, Sound Director
             Winner Special Effects|Blithe Spirit|Special Visual Effects by Thomas Howard
                    Special Effects|A Stolen Life|Special Visual Effects by William McGann; Special Audible Effects by Nathan Levinson
                    Writing (Original Motion Picture Story)|The Dark Mirror|Vladimir Pozner
                    Writing (Original Motion Picture Story)|The Strange Love of Martha Ivers|Jack Patrick
                    Writing (Original Motion Picture Story)|The Stranger|Victor Trivas
                    Writing (Original Motion Picture Story)|To Each His Own|Charles Brackett
             Winner Writing (Original Motion Picture Story)|Vacation from Marriage|Clemence Dane
                    Writing (Original Screenplay)|The Blue Dahlia|Raymond Chandler
                    Writing (Original Screenplay)|Children of Paradise|Jacques Prevert
                    Writing (Original Screenplay)|Notorious|Ben Hecht
                    Writing (Original Screenplay)|Road to Utopia|Norman Panama, Melvin Frank
             Winner Writing (Original Screenplay)|The Seventh Veil|Muriel Box, Sydney Box
                    Writing (Screenplay)|Anna and the King of Siam|Talbot Jennings, Sally Benson
             Winner Writing (Screenplay)|The Best Years of Our Lives|Robert E. Sherwood
                    Writing (Screenplay)|Brief Encounter|David Lean, Anthony Havelock-Allan, Ronald Neame
                    Writing (Screenplay)|The Killers|Anthony Veiller
                    Writing (Screenplay)|Open City|Sergio Amidei, F. Fellini
             Winner Special Award|Laurence Olivier|Henry V
             Winner Special Award|Harold Russell|The Best Years of Our Lives
             Winner Special Award|Ernst Lubitsch|
             Winner Special Award|Claude Jarman, Jr.|
             Winner Irving G. Thalberg Memorial Award|Samuel Goldwyn|
1947      20 Winner Actor|Ronald Colman|A Double Life
                    Actor|John Garfield|Body and Soul
                    Actor|Gregory Peck|Gentleman's Agreement
                    Actor|William Powell|Life with Father
                    Actor|Michael Redgrave|Mourning Becomes Electra
                    Actor in a Supporting Role|Charles Bickford|The Farmer's Daughter
                    Actor in a Supporting Role|Thomas Gomez|Ride the Pink Horse
             Winner Actor in a Supporting Role|Edmund Gwenn|Miracle on 34th Street
                    Actor in a Supporting Role|Robert Ryan|Crossfire
                    Actor in a Supporting Role|Richard Widmark|Kiss of Death
                    Actress|Joan Crawford|Possessed
                    Actress|Susan Hayward|Smash-Up--The Story of a Woman
                    Actress|Dorothy McGuire|Gentleman's Agreement
                    Actress|Rosalind Russell|Mourning Becomes Electra
             Winner Actress|Loretta Young|The Farmer's Daughter
                    Actress in a Supporting Role|Ethel Barrymore|The Paradine Case
                    Actress in a Supporting Role|Gloria Grahame|Crossfire
             Winner Actress in a Supporting Role|Celeste Holm|Gentleman's Agreement
                    Actress in a Supporting Role|Marjorie Main|The Egg and I
                    Actress in a Supporting Role|Anne Revere|Gentleman's Agreement
                    Art Direction (Black and White)|The Foxes of Harrow|Art Direction: Lyle Wheeler, Maurice Ransford; Set Decoration: Thomas Little, Paul S. Fox
             Winner Art Direction (Black and White)|Great Expectations|Art Direction: John Bryan; Set Decoration: Wilfred Shingleton
             Winner Art Direction (Color)|Black Narcissus|Art Direction: Alfred Junge; Set Decoration: Alfred Junge
                    Art Direction (Color)|Life with Father|Art Direction: Robert M. Haas; Set Decoration: George James Hopkins
                    Cinematography (Black and White)|The Ghost and Mrs. Muir|Charles Lang, Jr.
             Winner Cinematography (Black and White)|Great Expectations|Guy Green
                    Cinematography (Black and White)|Green Dolphin Street|George Folsey
             Winner Cinematography (Color)|Black Narcissus|Jack Cardiff
                    Cinematography (Color)|Life with Father|Peverell Marley, William V. Skall
                    Cinematography (Color)|Mother Wore Tights|Harry Jackson
                    Directing|The Bishop's Wife|Henry Koster
                    Directing|Crossfire|Edward Dmytryk
                    Directing|A Double Life|George Cukor
             Winner Directing|Gentleman's Agreement|Elia Kazan
